fuente,dpto_ccdgo,tipo_id,columna,v,ptgf_column,kx2f_column,numero,v_kx2f,tipo_kx2f,rel
ptgf,17,transacciones_corresponsales_fisicos,nroretiros,758911.0,nroretiros,_13_nro_retiros_corresponsales,13,758939.0,transacciones_corresponsales_fisicos,3.6894971874172336e-05
ptgf,23,transacciones_corresponsales_fisicos,nroretiros,1135733.0,nroretiros,_13_nro_retiros_corresponsales,13,1120441.0,transacciones_corresponsales_fisicos,0.013464432221305537
ptgf,47,transacciones_corresponsales_fisicos,nroretiros,670674.0,nroretiros,_13_nro_retiros_corresponsales,13,670681.0,transacciones_corresponsales_fisicos,1.0437261620399778e-05
ptgf,52,transacciones_corresponsales_fisicos,nroretiros,639725.0,nroretiros,_13_nro_retiros_corresponsales,13,639739.0,transacciones_corresponsales_fisicos,2.18844034546094e-05
ptgf,63,transacciones_corresponsales_fisicos,nroretiros,420370.0,nroretiros,_13_nro_retiros_corresponsales,13,420384.0,transacciones_corresponsales_fisicos,3.330399410043533e-05
ptgf,86,transacciones_corresponsales_fisicos,nroretiros,208429.0,nroretiros,_13_nro_retiros_corresponsales,13,208429.0,transacciones_corresponsales_fisicos,0.0
ptgf,94,transacciones_corresponsales_fisicos,nroretiros,11313.0,nroretiros,_13_nro_retiros_corresponsales,13,11313.0,transacciones_corresponsales_fisicos,0.0
ptgf,95,transacciones_corresponsales_fisicos,nroretiros,45330.0,nroretiros,_13_nro_retiros_corresponsales,13,45330.0,transacciones_corresponsales_fisicos,0.0
ptgf,25,corresponsales_fisicos,correspropios,2101.0,correspropios,_1_nro_corresponsales_f_sicos,1,2052.0,corresponsales_fisicos,0.023322227510709188
ptgf,27,corresponsales_fisicos,correspropios,194.0,correspropios,_1_nro_corresponsales_f_sicos,1,155.0,corresponsales_fisicos,0.20103092783505155
ptgf,47,corresponsales_fisicos,correspropios,454.0,correspropios,_1_nro_corresponsales_f_sicos,1,422.0,corresponsales_fisicos,0.07048458149779736
ptgf,85,corresponsales_fisicos,correspropios,306.0,correspropios,_1_nro_corresponsales_f_sicos,1,283.0,corresponsales_fisicos,0.07516339869281045
ptgf,95,corresponsales_fisicos,correspropios,36.0,correspropios,_1_nro_corresponsales_f_sicos,1,33.0,corresponsales_fisicos,0.08333333333333333
ptgf,05,credito_consumo,generomontomcdc,2059563796658.9004,generomontomcdc,_42_monto_cr_dito_consumo,42,2029092893937.5898,credito_consumo,0.014794833144154872
ptgf,08,credito_consumo,generomontomcdc,619430400315.0901,generomontomcdc,_42_monto_cr_dito_consumo,42,587451739711.16,credito_consumo,0.051625914045651033
ptgf,17,credito_consumo,generomontomcdc,195285779230.43,generomontomcdc,_42_monto_cr_dito_consumo,42,197151473084.85,credito_consumo,0.009553659574046934
ptgf,44,credito_consumo,generomontomcdc,74459563456.59,generomontomcdc,_42_monto_cr_dito_consumo,42,74459563456.59,credito_consumo,0.0
